document,target_words,redundancy,attack,rate,seed,detected_count,exact_recovery
doc-001,250,1,selector_drop,0.0,0,1,True
doc-001,250,1,selector_corrupt,0.0,0,1,True
doc-001,250,1,word_delete,0.0,0,1,True
doc-001,250,1,selector_drop,0.0,1,1,True
doc-001,250,1,selector_corrupt,0.0,1,1,True
doc-001,250,1,word_delete,0.0,1,1,True
doc-001,250,1,selector_drop,0.0,2,1,True
doc-001,250,1,selector_corrupt,0.0,2,1,True
doc-001,250,1,word_delete,0.0,2,1,True
doc-001,250,1,selector_drop,0.0,3,1,True
doc-001,250,1,selector_corrupt,0.0,3,1,True
doc-001,250,1,word_delete,0.0,3,1,True
doc-001,250,1,selector_drop,0.0,4,1,True
doc-001,250,1,selector_corrupt,0.0,4,1,True
doc-001,250,1,word_delete,0.0,4,1,True
doc-001,250,1,selector_drop,0.0,5,1,True
doc-001,250,1,selector_corrupt,0.0,5,1,True
doc-001,250,1,word_delete,0.0,5,1,True
doc-001,250,1,selector_drop,0.0,6,1,True
doc-001,250,1,selector_corrupt,0.0,6,1,True
doc-001,250,1,word_delete,0.0,6,1,True
doc-001,250,1,selector_drop,0.0,7,1,True
doc-001,250,1,selector_corrupt,0.0,7,1,True
doc-001,250,1,word_delete,0.0,7,1,True
doc-001,250,1,selector_drop,0.0,8,1,True
doc-001,250,1,selector_corrupt,0.0,8,1,True
doc-001,250,1,word_delete,0.0,8,1,True
doc-001,250,1,selector_drop,0.0,9,1,True
doc-001,250,1,selector_corrupt,0.0,9,1,True
doc-001,250,1,word_delete,0.0,9,1,True
doc-001,250,1,selector_drop,0.0,10,1,True
doc-001,250,1,selector_corrupt,0.0,10,1,True
doc-001,250,1,word_delete,0.0,10,1,True
doc-001,250,1,selector_drop,0.0,11,1,True
doc-001,250,1,selector_corrupt,0.0,11,1,True
doc-001,250,1,word_delete,0.0,11,1,True
doc-001,250,1,selector_drop,0.0,12,1,True
doc-001,250,1,selector_corrupt,0.0,12,1,True
doc-001,250,1,word_delete,0.0,12,1,True
doc-001,250,1,selector_drop,0.0,13,1,True
doc-001,250,1,selector_corrupt,0.0,13,1,True
doc-001,250,1,word_delete,0.0,13,1,True
doc-001,250,1,selector_drop,0.0,14,1,True
doc-001,250,1,selector_corrupt,0.0,14,1,True
doc-001,250,1,word_delete,0.0,14,1,True
doc-001,250,1,selector_drop,0.0,15,1,True
doc-001,250,1,selector_corrupt,0.0,15,1,True
doc-001,250,1,word_delete,0.0,15,1,True
doc-001,250,1,selector_drop,0.0,16,1,True
doc-001,250,1,selector_corrupt,0.0,16,1,True
doc-001,250,1,word_delete,0.0,16,1,True
doc-001,250,1,selector_drop,0.0,17,1,True
doc-001,250,1,selector_corrupt,0.0,17,1,True
doc-001,250,1,word_delete,0.0,17,1,True
doc-001,250,1,selector_drop,0.0,18,1,True
doc-001,250,1,selector_corrupt,0.0,18,1,True
doc-001,250,1,word_delete,0.0,18,1,True
doc-001,250,1,selector_drop,0.0,19,1,True
doc-001,250,1,selector_corrupt,0.0,19,1,True
doc-001,250,1,word_delete,0.0,19,1,True
doc-001,250,1,selector_drop,0.01,0,1,True
doc-001,250,1,selector_corrupt,0.01,0,1,True
doc-001,250,1,word_delete,0.01,0,1,True
doc-001,250,1,selector_drop,0.01,1,0,False
doc-001,250,1,selector_corrupt,0.01,1,1,True
doc-001,250,1,word_delete,0.01,1,0,False
doc-001,250,1,selector_drop,0.01,2,1,True
doc-001,250,1,selector_corrupt,0.01,2,1,True
doc-001,250,1,word_delete,0.01,2,1,True
doc-001,250,1,selector_drop,0.01,3,1,True
doc-001,250,1,selector_corrupt,0.01,3,1,True
doc-001,250,1,word_delete,0.01,3,1,True
doc-001,250,1,selector_drop,0.01,4,1,True
doc-001,250,1,selector_corrupt,0.01,4,1,True
doc-001,250,1,word_delete,0.01,4,1,True
doc-001,250,1,selector_drop,0.01,5,1,True
doc-001,250,1,selector_corrupt,0.01,5,1,True
doc-001,250,1,word_delete,0.01,5,1,True
doc-001,250,1,selector_drop,0.01,6,1,True
doc-001,250,1,selector_corrupt,0.01,6,1,True
doc-001,250,1,word_delete,0.01,6,1,True
doc-001,250,1,selector_drop,0.01,7,0,False
doc-001,250,1,selector_corrupt,0.01,7,1,True
doc-001,250,1,word_delete,0.01,7,1,True
doc-001,250,1,selector_drop,0.01,8,1,True
doc-001,250,1,selector_corrupt,0.01,8,0,False
doc-001,250,1,word_delete,0.01,8,0,False
doc-001,250,1,selector_drop,0.01,9,1,True
doc-001,250,1,selector_corrupt,0.01,9,1,True
doc-001,250,1,word_delete,0.01,9,1,True
doc-001,250,1,selector_drop,0.01,10,1,True
doc-001,250,1,selector_corrupt,0.01,10,1,True
doc-001,250,1,word_delete,0.01,10,1,True
doc-001,250,1,selector_drop,0.01,11,1,True
doc-001,250,1,selector_corrupt,0.01,11,1,True
doc-001,250,1,word_delete,0.01,11,1,True
doc-001,250,1,selector_drop,0.01,12,1,True
doc-001,250,1,selector_corrupt,0.01,12,1,True
doc-001,250,1,word_delete,0.01,12,1,True
doc-001,250,1,selector_drop,0.01,13,0,False
doc-001,250,1,selector_corrupt,0.01,13,1,True
doc-001,250,1,word_delete,0.01,13,0,False
doc-001,250,1,selector_drop,0.01,14,1,True
doc-001,250,1,selector_corrupt,0.01,14,1,True
doc-001,250,1,word_delete,0.01,14,1,True
doc-001,250,1,selector_drop,0.01,15,1,True
doc-001,250,1,selector_corrupt,0.01,15,1,True
doc-001,250,1,word_delete,0.01,15,1,True
doc-001,250,1,selector_drop,0.01,16,1,True
doc-001,250,1,selector_corrupt,0.01,16,1,True
doc-001,250,1,word_delete,0.01,16,1,True
doc-001,250,1,selector_drop,0.01,17,1,True
doc-001,250,1,selector_corrupt,0.01,17,1,True
doc-001,250,1,word_delete,0.01,17,1,True
doc-001,250,1,selector_drop,0.01,18,0,False
doc-001,250,1,selector_corrupt,0.01,18,1,True
doc-001,250,1,word_delete,0.01,18,1,True
doc-001,250,1,selector_drop,0.01,19,1,True
doc-001,250,1,selector_corrupt,0.01,19,1,True
doc-001,250,1,word_delete,0.01,19,1,True
doc-001,250,1,selector_drop,0.05,0,0,False
doc-001,250,1,selector_corrupt,0.05,0,1,True
doc-001,250,1,word_delete,0.05,0,1,True
doc-001,250,1,selector_drop,0.05,1,1,True
doc-001,250,1,selector_corrupt,0.05,1,0,False
doc-001,250,1,word_delete,0.05,1,1,True
doc-001,250,1,selector_drop,0.05,2,1,True
doc-001,250,1,selector_corrupt,0.05,2,0,False
doc-001,250,1,word_delete,0.05,2,1,True
doc-001,250,1,selector_drop,0.05,3,0,False
doc-001,250,1,selector_corrupt,0.05,3,1,True
doc-001,250,1,word_delete,0.05,3,0,False
doc-001,250,1,selector_drop,0.05,4,1,True
doc-001,250,1,selector_corrupt,0.05,4,0,False
doc-001,250,1,word_delete,0.05,4,1,True
doc-001,250,1,selector_drop,0.05,5,0,False
doc-001,250,1,selector_corrupt,0.05,5,1,True
doc-001,250,1,word_delete,0.05,5,0,False
doc-001,250,1,selector_drop,0.05,6,1,True
doc-001,250,1,selector_corrupt,0.05,6,0,False
doc-001,250,1,word_delete,0.05,6,1,True
doc-001,250,1,selector_drop,0.05,7,1,True
doc-001,250,1,selector_corrupt,0.05,7,0,False
doc-001,250,1,word_delete,0.05,7,1,True
doc-001,250,1,selector_drop,0.05,8,0,False
doc-001,250,1,selector_corrupt,0.05,8,1,True
doc-001,250,1,word_delete,0.05,8,0,False
doc-001,250,1,selector_drop,0.05,9,0,False
doc-001,250,1,selector_corrupt,0.05,9,0,False
doc-001,250,1,word_delete,0.05,9,0,False
doc-001,250,1,selector_drop,0.05,10,0,False
doc-001,250,1,selector_corrupt,0.05,10,1,True
doc-001,250,1,word_delete,0.05,10,0,False
doc-001,250,1,selector_drop,0.05,11,0,False
doc-001,250,1,selector_corrupt,0.05,11,0,False
doc-001,250,1,word_delete,0.05,11,0,False
doc-001,250,1,selector_drop,0.05,12,1,True
doc-001,250,1,selector_corrupt,0.05,12,0,False
doc-001,250,1,word_delete,0.05,12,0,False
doc-001,250,1,selector_drop,0.05,13,1,True
doc-001,250,1,selector_corrupt,0.05,13,0,False
doc-001,250,1,word_delete,0.05,13,0,False
doc-001,250,1,selector_drop,0.05,14,0,False
doc-001,250,1,selector_corrupt,0.05,14,1,True
doc-001,250,1,word_delete,0.05,14,1,True
doc-001,250,1,selector_drop,0.05,15,0,False
doc-001,250,1,selector_corrupt,0.05,15,0,False
doc-001,250,1,word_delete,0.05,15,0,False
doc-001,250,1,selector_drop,0.05,16,0,False
doc-001,250,1,selector_corrupt,0.05,16,0,False
doc-001,250,1,word_delete,0.05,16,0,False
doc-001,250,1,selector_drop,0.05,17,0,False
doc-001,250,1,selector_corrupt,0.05,17,1,True
doc-001,250,1,word_delete,0.05,17,0,False
doc-001,250,1,selector_drop,0.05,18,1,True
doc-001,250,1,selector_corrupt,0.05,18,0,False
doc-001,250,1,word_delete,0.05,18,1,True
